자전거전용도로_길이,기간,자치구,자전거보행자겸용도로_길이,합계_구간,자전거우선도로_구간,자전거우선도로_길이,합계_길이,자전거전용차로_구간,자전거전용도로_구간,자전거보행자겸용도로_구간,자전거전용차로_길이
4.1,2018,종로구,5.9,22,9,7.9,23.7,6,1,6,5.8
0,2018,중구,2.4,13,10,12.3,15.4,1,0,2,0.7
1.6,2018,용산구,10.4,16,5,10.1,22.1,0,3,8,0
0.6,2018,성동구,9.2,22,7,5.3,20.6,2,3,10,5.5
0.4,2018,광진구,25.1,22,3,3.8,29.8,1,1,17,0.5
2.5,2018,동대문구,7.4,22,7,14.4,24.3,0,4,11,0
3.2,2018,중랑구,2.9,8,0,0,6.1,0,4,4,0
0.3,2018,성북구,5.3,7,0,0,8,1,1,5,2.4
0,2018,강북구,2.7,3,0,0,7,2,0,1,4.3
0.7,2018,도봉구,11.6,4,0,0,12.3,0,1,3,0
0.9,2018,노원구,19.9,25,0,0,28.3,7,1,17,7.5
0,2018,은평구,24.6,17,0,0,26.9,1,0,16,2.3
0.4,2018,서대문구,5.9,28,17,11.2,19.4,2,1,8,1.9
4.2,2018,마포구,5.4,33,17,19,33.4,7,5,4,4.8
20.2,2018,양천구,14.7,28,2,5.1,40,0,13,13,0
5.4,2018,강서구,22.5,34,0,0,27.9,0,9,25,0
1,2018,구로구,8.1,15,2,1,10.9,2,2,9,0.8
3.8,2018,금천구,4.4,7,0,0,8.2,0,2,5,0
3.3,2018,영등포구,5,43,14,15.9,36.6,12,7,10,12.4
0,2018,동작구,13.1,14,1,0.3,13.4,0,0,13,0
3,2018,관악구,12.2,15,9,4.3,19.5,0,1,5,0
0,2018,서초구,19,23,0,0,23.5,3,0,20,4.5
3.1,2018,강남구,48,27,0,0,52.6,2,3,22,1.5
22,2018,송파구,67.8,50,0,0,91.7,1,12,37,1.9
7.2,2018,강동구,33,33,0,0,40.8,1,5,27,0.6