기간,사망자수,지역,발생건수,부상자수
2015,0,종로구,59,62
2015,0,중구,39,40
2015,1,용산구,69,74
2015,1,성동구,159,176
2015,1,광진구,183,198
2015,1,동대문구,253,259
2015,1,중랑구,224,244
2015,2,성북구,123,127
2015,2,강북구,129,134
2015,0,도봉구,115,122
2015,5,노원구,206,214
2015,0,은평구,139,156
2015,0,서대문구,71,74
2015,1,마포구,189,193
2015,3,양천구,187,192
2015,1,강서구,211,226
2015,1,구로구,161,173
2015,0,금천구,72,79
2015,4,영등포구,337,366
2015,0,동작구,131,141
2015,0,관악구,96,99
2015,0,서초구,102,108
2015,2,강남구,180,192
2015,1,송파구,422,462
2015,0,강동구,205,218
2016,0,종로구,50,53
2016,0,중구,26,27
2016,0,용산구,67,75
2016,1,성동구,123,132
2016,0,광진구,120,126
2016,2,동대문구,238,247
2016,0,중랑구,191,207
2016,0,성북구,94,94
2016,1,강북구,103,110
2016,2,도봉구,131,136
2016,2,노원구,173,178
2016,3,은평구,105,111
2016,2,서대문구,62,65
2016,0,마포구,139,148
2016,2,양천구,186,194
2016,1,강서구,182,188
2016,2,구로구,172,182
2016,1,금천구,51,54
2016,2,영등포구,291,314
2016,2,동작구,105,119
2016,1,관악구,69,68
2016,0,서초구,103,104
2016,0,강남구,131,142
2016,0,송파구,375,412
2016,0,강동구,216,232
2017,1,종로구,57,62
2017,1,중구,27,29
2017,0,용산구,63,70
2017,3,성동구,100,103
2017,2,광진구,108,110
2017,2,동대문구,195,200
2017,1,중랑구,197,211
2017,1,성북구,98,101
2017,0,강북구,90,102
2017,1,도봉구,125,127
2017,0,노원구,138,146
2017,0,은평구,83,86
2017,0,서대문구,59,62
2017,0,마포구,103,108
2017,1,양천구,136,138
2017,3,강서구,140,147
2017,2,구로구,122,123
2017,0,금천구,53,54
2017,2,영등포구,222,234
2017,1,동작구,97,109
2017,0,관악구,54,57
2017,0,서초구,58,59
2017,1,강남구,122,126
2017,2,송파구,365,396
2017,6,강동구,178,183
2018,0,종로구,40,41
2018,1,중구,14,7
2018,0,용산구,39,50
2018,2,성동구,106,111
2018,2,광진구,114,120
2018,3,동대문구,202,213
2018,1,중랑구,129,132
2018,0,성북구,65,65
2018,1,강북구,81,82
2018,1,도봉구,99,99
2018,1,노원구,154,157
2018,1,은평구,102,104
2018,0,서대문구,47,54
2018,1,마포구,84,88
2018,0,양천구,117,127
2018,2,강서구,93,94
2018,1,구로구,92,95
2018,0,금천구,47,50
2018,5,영등포구,267,280
2018,0,동작구,113,125
2018,1,관악구,39,34
2018,0,서초구,70,69
2018,2,강남구,109,118
2018,1,송파구,336,365
2018,2,강동구,121,116